channelid,categoryid,subscribercount
UCdzU3DSGzyWzN2118yd9X9g,22,18
UC0UnhAG47DRyVZGVcbhAXhQ,10,184
UCXjtAvK5P3wXBGh0vbGylzg,27,338
UCeKHMeUlcLNPLCLUfZUQI2w,26,22051
UCNWPDyaWf2eAHnofFLSnEMg,20,220
UCdo4nsIhLYABKSnU9IMBvcw,26,232
UCZNDDbxNipTnfrSH4NpuoOw,27,109
UCgg5HS1oVuMSoGRPuHo-b_A,10,75629
UCCNZDSGjG6xEoz2lv4FThMQ,20,40482
UCW0Dk2N7209dicPGgYNcnGg,20,90
UCq-di9ylxEtA-MAcrvwFrEw,1,6245
UCDUi7yW7tJ7QWJZgK8sRLLQ,20,4344
UCKMDuwPLGjt-nGHgNPOk5PQ,20,327143
UC3pvtaMQ2b74u2dwUjhYMoA,24,0
UCaBmj7srjEN8hpcq2lcYQJA,2,6514
UCpjYH_3HgCYCBEj5kOZ250A,26,7710
UCBFF3y6p-LqzD9bQSDgipgA,24,455
UCVjfxCDKw_1bfH9GzhfmuMQ,10,49049
UCIqxsYQqmf-1rP7w18cDAkg,22,13
UCqDbufe6xLQvj0ylR1B9FTA,10,646
UC7gA_qnevZEg033B3fFfrKg,28,2545
UCpJ-kuYqO3-FmecU4hViajw,22,55
UC9fwbix0hNiFQ-nhU209UXw,17,4
UCuFlctNwFfnzjDC5UzB6fFQ,23,122326
UCQowROOeb9i2uh3TBCKjsEg,24,930
UC5rEKljNZfKS14WhkZ9o_oA,20,355544
UCMxVXcnKrXzE9MH61GwjFzg,17,27
UC_6j2h3N5jNjx-IVWhIeXhQ,23,14778
UCjZ6Ay7M4-4k8rTiKpRJJUg,1,79
UCSfdh8cOnTt4qoyilCKVrgQ,10,433
UCfeHOn4Xgf6ZxQQBZ_Jzw_w,17,1314
UC_kbaOT64kspWcXIRrnmP2g,10,2
UCkYIV-GhZvKyrUyPetZpdwQ,10,112
UCtH1zjiEXG7pK_n30LXGpSQ,10,326
UCDJEz4SBUw0alJrd-G8r4Yg,20,51
UCj2BnNGuhrB_BXLoIMhkxiA,24,29845
UC--kMyYobbRpKDLzlGkwo6w,26,874
